"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8161","userCanChangeItsNameTest()","","2025-10-28","passed","2025-10-28","","iteration2.api.ChangeNameTest","iteration2.api.ChangeNameTest","userCanChangeItsNameTest"
"","13547","userCanCreateAccountTest()","","2025-10-28","passed","2025-10-28","","iteration1.ui.CreateAccountTest","iteration1.ui.CreateAccountTest","userCanCreateAccountTest"
"","6228","adminCanLoginWithCorrectDataTest()","","2025-10-28","passed","2025-10-28","","iteration1.ui.LoginUserTest","iteration1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","911","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [4] Ak1234.-_@, Kate1998$, USER, username, Username must contain only letters, digits, dashes, underscores, and dots","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","918","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [8] kate1998, A123456!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","26514","userCanDepositMoneyTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.DepositMoneyTest","iteration2.ui.DepositMoneyTest","userCanDepositMoneyTest"
"","3100","userCannotTransferMoreThanBalance()","","2025-10-28","passed","2025-10-28","","iteration2.api.TransferMoneyNegativeTest","iteration2.api.TransferMoneyNegativeTest","userCannotTransferMoreThanBalance"
"","1067","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [3] ab123456789Cde-., Kate1998$, USER, username, Username must be between 3 and 15 characters","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","4525","adminCanCreateUserWithCorrectData()","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCanCreateUserWithCorrectData"
"","5165","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [1]    , Kate1998$, USER, username, Username cannot be blank","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","870","adminCannotCreateUserWithInvalidData(String, String, String, String, String) [6] kate1998, Ab1234!, USER, password, Password must contain at least one digit, one lower case, one upper case, one special character, no spaces, and be at least 8 characters long","","2025-10-28","passed","2025-10-28","","iteration1.api.CreateUserTest","iteration1.api.CreateUserTest","adminCannotCreateUserWithInvalidData"
"","1432","userCanGenerateAuthTokenTest()","","2025-10-28","passed","2025-10-28","","iteration1.api.LoginUserTest","iteration1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","9443","userCanDepositMoneyTest()","","2025-10-28","passed","2025-10-28","","iteration2.api.DepositMoneyTest","iteration2.api.DepositMoneyTest","userCanDepositMoneyTest"
"","15967","userCanTransferMoneyTest()","","2025-10-28","passed","2025-10-28","","iteration2.ui.TransferMoneyTest","iteration2.ui.TransferMoneyTest","userCanTransferMoneyTest"
